id,order,nameAr_ar_REF,famousQuoteAr_ar_REF,biography_en,famousQuote_en,biography_ace,famousQuote_ace,biography_af,famousQuote_af,biography_am,famousQuote_am,biography_as,famousQuote_as,biography_az,famousQuote_az,biography_bg,famousQuote_bg,biography_bn,famousQuote_bn,biography_bs,famousQuote_bs,biography_ca,famousQuote_ca,biography_ceb,famousQuote_ceb,biography_ckb,famousQuote_ckb,biography_cs,famousQuote_cs,biography_da,famousQuote_da,biography_de,famousQuote_de,biography_el,famousQuote_el,biography_et,famousQuote_et,biography_fa,famousQuote_fa,biography_fi,famousQuote_fi,biography_fil,famousQuote_fil,biography_fr,famousQuote_fr,biography_ga,famousQuote_ga,biography_gu,famousQuote_gu,biography_ha,famousQuote_ha,biography_he,famousQuote_he,biography_hi,famousQuote_hi,biography_hr,famousQuote_hr,biography_ht,famousQuote_ht,biography_hu,famousQuote_hu,biography_hy,famousQuote_hy,biography_id,famousQuote_id,biography_ig,famousQuote_ig,biography_is,famousQuote_is,biography_it,famousQuote_it,biography_ja,famousQuote_ja,biography_jv,famousQuote_jv,biography_ka,famousQuote_ka,biography_kk,famousQuote_kk,biography_km,famousQuote_km,biography_kn,famousQuote_kn,biography_ko,famousQuote_ko,biography_ku,famousQuote_ku,biography_ky,famousQuote_ky,biography_lb,famousQuote_lb,biography_lo,famousQuote_lo,biography_lt,famousQuote_lt,biography_lv,famousQuote_lv,biography_mad,famousQuote_mad,biography_mg,famousQuote_mg,biography_min,famousQuote_min,biography_mk,famousQuote_mk,biography_ml,famousQuote_ml,biography_mn,famousQuote_mn,biography_mr,famousQuote_mr,biography_ms,famousQuote_ms,biography_mt,famousQuote_mt,biography_my,famousQuote_my,biography_ne,famousQuote_ne,biography_nl,famousQuote_nl,biography_no,famousQuote_no,biography_ny,famousQuote_ny,biography_or,famousQuote_or,biography_pa,famousQuote_pa,biography_pl,famousQuote_pl,biography_ps,famousQuote_ps,biography_pt,famousQuote_pt,biography_ro,famousQuote_ro,biography_rw,famousQuote_rw,biography_si,famousQuote_si,biography_sk,famousQuote_sk,biography_sl,famousQuote_sl,biography_so,famousQuote_so,biography_sq,famousQuote_sq,biography_sr,famousQuote_sr,biography_st,famousQuote_st,biography_sv,famousQuote_sv,biography_sw,famousQuote_sw,biography_ta,famousQuote_ta,biography_te,famousQuote_te,biography_th,famousQuote_th,biography_ti,famousQuote_ti,biography_tl,famousQuote_tl,biography_tr,famousQuote_tr,biography_uk,famousQuote_uk,biography_ur,famousQuote_ur,biography_uz,famousQuote_uz,biography_vi,famousQuote_vi,biography_yo,famousQuote_yo,biography_yue,famousQuote_yue,biography_zh,famousQuote_zh,biography_zu,famousQuote_zu
imam_fatima,-1,السيدة فاطمة الزهراء ع,جَعَلَ اللهُ الإِيمَانَ تَطْهِيراً مِنَ الشِّرْكِ وَالصَّلاةَ تَنْزِيهاً عَنِ الكِبْرِ,"The beloved daughter of Prophet Muhammad (SAW) and Sayyida Khadijah (SA), wife of Imam Ali (AS), and mother of Imams Hasan and Husayn (AS). She is one of the 14 Masumeen and holds the highest station among women in Islam. Her Fadak Sermon is a landmark defense of divine justice and Imamate. She passed away shortly after her father, her grief unending.","Allah has made faith a purification from polytheism, prayer a purification from pride, and zakat a purification of the soul.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imam_prophet,0,النبي محمد ﷺ,إِنِّي تَارِكٌ فِيكُمُ الثَّقَلَيْنِ: كِتَابَ اللهِ وَعِتْرَتِي أَهْلَ بَيْتِي,"The final messenger of Allah, sent as a mercy to all of creation. Born in Mecca into the noble tribe of Quraysh, he received the first revelation at age 40. Over 23 years he conveyed the Quran, established the Islamic community, and demonstrated through his Sunnah the complete way of life. His declaration at Ghadir Khumm of Imam Ali's succession is a cornerstone of Shia belief.",I am leaving among you two weighty things: the Book of Allah and my Ahlul Bayt. They shall not separate until they meet me at the Pond.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imam_ali_1,1,الإمام علي بن أبي طالب ع,الْعِلْمُ خَيْرٌ مِنَ الْمَالِ، الْعِلْمُ يَحْرُسُكَ وَأَنْتَ تَحْرُسُ الْمَالَ,"The first Imam and designated successor of the Prophet Muhammad (SAW), born miraculously inside the Ka'ba. He was raised in the household of the Prophet and was the first male to accept Islam. Renowned for his unparalleled knowledge, justice, and valor, his wisdom is preserved in Nahj al-Balagha. He was martyred by Ibn Muljam while in prostration during Fajr prayer.","Knowledge is better than wealth. Knowledge guards you, while you must guard wealth.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imam_hasan_2,2,الإمام الحسن المجتبى ع,مَنْ تَوَكَّلَ عَلَى اللهِ كَفَاهُ,"The second Imam and elder grandson of the Prophet, praised in many hadiths alongside Imam Husayn as the leaders of the youth of Paradise. Renowned for his immense generosity and forbearance, he signed a peace treaty with Muawiyah to preserve Islam and protect the Muslim community. He was martyred by poison arranged by Muawiyah, dying in Madinah.",Whoever places his trust in the excellence of Allah's choice will not wish to be in any state other than the one Allah has chosen for him.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imam_husayn_3,3,الإمام الحسين بن علي ع,لَمْ أَخْرُجْ أَشِراً وَلا بَطِراً، وَإِنَّمَا خَرَجْتُ لِطَلَبِ الإِصْلاحِ فِي أُمَّةِ جَدِّي,"The third Imam and younger grandson of the Prophet, whose stand at Karbala on the 10th of Muharram (Ashura) in 61 AH defines Islamic conscience and resistance to oppression. He refused to pledge allegiance to the corrupt Yazid and rose with 72 companions and family members. His sacrifice revived Islam. Ziyarat to his shrine in Karbala is among the most meritorious acts in Shia Islam.","I did not rise out of arrogance, nor to cause mischief. I rose only to seek reform in the nation of my grandfather.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imam_sajjad_4,4,الإمام علي بن الحسين زين العابدين ع,اعْبُدِ اللهَ كَأَنَّكَ تَرَاهُ، فَإِنْ لَمْ تَكُنْ تَرَاهُ فَإِنَّهُ يَرَاكَ,"The fourth Imam, sole surviving son of Imam Husayn after Karbala. He preserved the message of Karbala through his sermons after being taken captive to Damascus. His spiritual legacy is the Sahifa al-Sajjadiyya, a book of sublime supplications often called ""the Psalms of the Ahlul Bayt."" He was known for his extraordinary depth of worship and compassion for the poor.","Worship Allah as though you see Him; for even if you cannot see Him, He surely sees you.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imam_baqir_5,5,الإمام محمد الباقر ع,الْمُؤْمِنُ أَخُو الْمُؤْمِنِ كَالْجَسَدِ الْوَاحِدِ,"The fifth Imam, known as al-Baqir — ""one who deeply explores knowledge."" He established the first great Islamic university from Madinah, teaching hundreds of students in theology, jurisprudence, and Quranic sciences. His period marked an intellectual flourishing of Shia scholarship. He was martyred by poison under the Umayyad caliph Hisham ibn Abd al-Malik.","The believer is the brother of the believer — like a single body; if one part suffers, all other parts respond.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imam_sadiq_6,6,الإمام جعفر الصادق ع,احْفَظْ لِسَانَكَ كَمَا تَحْفَظُ ذَهَبَكَ وَفِضَّتَكَ,"The sixth Imam and one of the most prolific teachers in Islamic history, with over 4,000 students including Abu Hanifa and Malik ibn Anas. He codified Shia jurisprudence (Fiqh al-Ja'fari) and made immense contributions to philosophy, chemistry, astronomy, and theology. The Ja'fari school of Islamic law is named after him. He was martyred by poison under the Abbasid caliph al-Mansur.","Guard your tongue as you guard your gold and silver, for many have been destroyed by a careless word.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imam_kadhim_7,7,الإمام موسى الكاظم ع,الصَّبْرُ مِنَ الإِيمَانِ بِمَنْزِلَةِ الرَّأْسِ مِنَ الْجَسَدِ,"The seventh Imam, renowned for his extraordinary patience and control of anger — hence his title al-Kadhim. He spent much of his life under Abbasid surveillance, imprisoned multiple times by Harun al-Rashid. He continued teaching from prison, and his shrine in Kadhimiyyah, Baghdad is one of the most visited in the world. He was martyred by poison in the prison of Sindi ibn Shahik.",Patience is to faith what the head is to the body. A body without a head perishes — and so does faith without patience.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imam_ridha_8,8,الإمام علي الرضا ع,الإِيمَانُ إِقْرَارٌ بِالْقَلْبِ وَإِقْرَارٌ بِاللِّسَانِ وَعَمَلٌ بِالأَرْكَانِ,"The eighth Imam, appointed heir apparent by the Abbasid caliph al-Ma'mun, a political maneuver to control him. Despite this, he used the position to spread Islamic knowledge. His debates with scholars of all religions are legendary. He was martyred by poison and buried in Tus (modern-day Mashhad), which became one of the holiest shrines in Shia Islam — visited by millions annually.","Faith is acknowledgment with the heart, confession with the tongue, and action with the limbs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
