id,order,arabic_REF,imam_REF,source_REF,english_en,english_ace,english_af,english_am,english_as,english_az,english_bg,english_bn,english_bs,english_ca,english_ceb,english_ckb,english_cs,english_da,english_de,english_el,english_et,english_fa,english_fi,english_fil,english_fr,english_ga,english_gu,english_ha,english_he,english_hi,english_hr,english_ht,english_hu,english_hy,english_id,english_ig,english_is,english_it,english_ja,english_jv,english_ka,english_kk,english_km,english_kn,english_ko,english_ku,english_ky,english_lb,english_lo,english_lt,english_lv,english_mad,english_mg,english_min,english_mk,english_ml,english_mn,english_mr,english_ms,english_mt,english_my,english_ne,english_nl,english_no,english_ny,english_or,english_pa,english_pl,english_ps,english_pt,english_ro,english_rw,english_si,english_sk,english_sl,english_so,english_sq,english_sr,english_st,english_sv,english_sw,english_ta,english_te,english_th,english_ti,english_tl,english_tr,english_uk,english_ur,english_uz,english_vi,english_yo,english_yue,english_zh,english_zu
hadith_thaqalayn,1,إِنِّي تَارِكٌ فِيكُمُ الثَّقَلَيْنِ: كِتَابَ اللهِ وَعِتْرَتِي أَهْلَ بَيْتِي,Prophet Muhammad (SAW),Hadith al-Thaqalayn,I am leaving among you two weighty things: the Book of Allah and my Ahlul Bayt. They will never separate until they meet me at the Pond of Kawthar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_ilm_mal,2,الْعِلْمُ خَيْرٌ مِنَ الْمَالِ، الْعِلْمُ يَحْرُسُكَ وَأَنْتَ تَحْرُسُ الْمَالَ,Imam Ali ibn Abi Talib (AS),Nahj al-Balagha,"Knowledge is better than wealth. Knowledge guards you, while you must guard wealth. Wealth decreases with spending, but knowledge only grows.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_husayn_rise,3,لَمْ أَخْرُجْ أَشِراً وَلا بَطِراً، وَإِنَّمَا خَرَجْتُ لِطَلَبِ الإِصْلاحِ فِي أُمَّةِ جَدِّي,Imam Husayn ibn Ali (AS),"Maqtal al-Husayn, al-Muqarram","I did not rise out of arrogance or corruption. I rose only to seek reform in the nation of my grandfather, the Prophet (SAW).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_best_deeds,4,أَفْضَلُ الأَعْمَالِ إِدْخَالُ السُّرُورِ عَلَى قَلْبِ الْمُؤْمِنِ,Imam Ja'far al-Sadiq (AS),"al-Kafi, vol. 2","The best of deeds is to bring joy to the heart of a believer — to satisfy his hunger, relieve his worry, or pay off his debt.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_worship_as_seeing,5,اعْبُدِ اللهَ كَأَنَّكَ تَرَاهُ، فَإِنْ لَمْ تَكُنْ تَرَاهُ فَإِنَّهُ يَرَاكَ,Imam Ali ibn Husayn al-Sajjad (AS),Sahifa al-Sajjadiyya,"Worship Allah as though you see Him; even if you cannot see Him, He surely sees you.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_patience_head,6,الصَّبْرُ مِنَ الإِيمَانِ بِمَنْزِلَةِ الرَّأْسِ مِنَ الْجَسَدِ,Imam Musa al-Kadhim (AS),Bihar al-Anwar,"Patience is to faith what the head is to the body. A body without a head perishes, and so does faith without patience.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_iman_heart_tongue,7,الإِيمَانُ إِقْرَارٌ بِالْقَلْبِ وَإِقْرَارٌ بِاللِّسَانِ وَعَمَلٌ بِالأَرْكَانِ,Imam Ali al-Ridha (AS),Uyun Akhbar al-Ridha,"Faith is acknowledgment with the heart, confession with the tongue, and action with the limbs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_tawakkul_ladder,8,التَّوَكُّلُ عَلَى اللهِ ثَمَنٌ لِكُلِّ غَالٍ وَسُلَّمٌ إِلَى كُلِّ عَالٍ,Imam Muhammad al-Jawad (AS),Bihar al-Anwar,Reliance on Allah is the price of every precious thing and the ladder to every elevated station.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_dunya_marketplace,9,الدُّنْيَا سُوقٌ رَبِحَ فِيهَا قَوْمٌ وَخَسِرَ آخَرُونَ,Imam Ali al-Hadi (AS),Tuhaf al-Uqul,"The world is a marketplace: some people profit from it, while others incur loss.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_taqwa_treasure,10,التَّقْوَى شَرَفٌ وَالْعِلْمُ كَنْزٌ وَالصَّمْتُ نُورٌ,Imam Hasan al-Askari (AS),Bihar al-Anwar,"Piety is an honor, knowledge is a treasure, silence is a light, and the peak of worship is modesty and contentment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_mahdi_caring,11,إِنَّا غَيْرُ مُهْمِلِينَ لِمُرَاعَاتِكُمْ وَلا نَاسِينَ لِذِكْرِكُمْ,Imam Muhammad al-Mahdi (AJ),"Bihar al-Anwar, Tawqi' al-Mahdi","We are not neglectful of your affairs, nor forgetful of your remembrance. Were it not for that, hardships would descend upon you.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_best_family,12,خَيْرُكُمْ خَيْرُكُمْ لأَهْلِهِ,Prophet Muhammad (SAW),Bihar al-Anwar,The best of you is the best among his family.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_person_under_tongue,13,الْمَرْءُ مَخْبُوءٌ تَحْتَ لِسَانِهِ,Imam Ali ibn Abi Talib (AS),Nahj al-Balagha,"A person is hidden beneath his tongue. Speak, and you will be known.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_calamity_patience,14,الْمُصِيبَةُ لِلصَّابِرِ وَاحِدَةٌ وَلِلْجَازِعِ اثْنَتَانِ,Imam Husayn ibn Ali (AS),Bihar al-Anwar,"A calamity for the patient person is one; but for the impatient, it is two — the calamity itself and the loss of patience.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_right_of_mother,15,حَقُّ أُمِّكَ أَنْ تَعْلَمَ أَنَّهَا حَمَلَتْكَ حَيْثُ لا يَحْمِلُ أَحَدٌ أَحَداً,Imam Ali ibn Husayn al-Sajjad (AS),Risalat al-Huquq,"The right of your mother upon you is that you know: she carried you as no one carries another, and nourished you from the fruit of her heart.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_recitation_reflection,16,لا خَيْرَ فِي قِرَاءَةٍ لَيْسَ فِيهَا تَدَبُّرٌ,Imam Muhammad al-Baqir (AS),"al-Kafi, vol. 2",There is no good in recitation without reflection and understanding of what is being recited.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_guard_tongue,17,احْفَظْ لِسَانَكَ كَمَا تَحْفَظُ ذَهَبَكَ وَفِضَّتَكَ,Imam Ja'far al-Sadiq (AS),"al-Kafi, vol. 2","Guard your tongue as you guard your gold and silver, for many have been destroyed by a word carelessly spoken.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_wise_deals_wisely,18,أَعْقَلُ النَّاسِ أَحْسَنُهُمْ مُدَارَاةً لِلنَّاسِ,Imam Musa al-Kadhim (AS),Bihar al-Anwar,The most intelligent of people is the one who deals with others most wisely and with the most patience.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadith_good_character_half_intellect,19,مَنْ حَسُنَ خُلُقُهُ كَمَلَ نِصْفُ عَقْلِهِ,Imam Ali al-Ridha (AS),Bihar al-Anwar,One who has a good character has completed half of his intellect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
